00 Person
00 9995
00 no additional info
00 1
00 111
00 male
00 200
00 6
00 Data was recorded 60 times per second
00 Date and Time: 2/5/2024 10:48:12 AM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):266879.5  stage:0 time_period:30 sway_degree:-5 #_of_sways:60 rep:1
01 timestamp(ms):266922.8 force plate (fx, fy, fz, mx, my, mz):0.5666637,1.425089,-0.1254883,-5.337891,0.2558289,-0.04752111
01 timestamp(ms):266955.7 force plate (fx, fy, fz, mx, my, mz):0.2549515,0.5137196,-1.258545,-7.169983,0.6389465,0.4328418
01 timestamp(ms):266990.3 force plate (fx, fy, fz, mx, my, mz):0.2545853,0.5126133,-1.070557,-7.117493,0.6724243,0.4324927
01 timestamp(ms):267018.9 force plate (fx, fy, fz, mx, my, mz):0.2593155,0.2647572,-0.8830566,-7.054382,0.6395569,0.3905482
01 timestamp(ms):267049.8 force plate (fx, fy, fz, mx, my, mz):0.2619705,0.5105457,-1.06958,-7.117249,0.672699,0.347816
01 timestamp(ms):267078.7 force plate (fx, fy, fz, mx, my, mz):0.9312592,1.075005,-0.8859863,-9.066528,1.203064,0.632535
01 timestamp(ms):267108.7 force plate (fx, fy, fz, mx, my, mz):0.273159,1.071812,-0.5146484,-9.170288,1.172241,0.6311378
01 timestamp(ms):267136.6 force plate (fx, fy, fz, mx, my, mz):0.6096649,0.8351212,-0.8886719,-9.263916,1.187805,0.6845694
01 timestamp(ms):267167.3 force plate (fx, fy, fz, mx, my, mz):0.6207581,-2.272686,0.6013184,-12.24207,1.456055,0.4007044
01 timestamp(ms):267203.1 force plate (fx, fy, fz, mx, my, mz):0.6192665,-2.2701,0.2268066,-12.34631,1.455566,0.4013224
01 timestamp(ms):267232.8 force plate (fx, fy, fz, mx, my, mz):0.9543877,-2.263012,0.2277832,-12.34692,1.471405,0.4958143
01 timestamp(ms):267260.3 force plate (fx, fy, fz, mx, my, mz):0.6203918,-2.273193,0.2263184,-12.24268,1.455566,0.400568
01 timestamp(ms):267291.8 force plate (fx, fy, fz, mx, my, mz):0.9520588,-2.726156,1.350586,-13.46844,1.738495,0.318028
01 timestamp(ms):267319.7 force plate (fx, fy, fz, mx, my, mz):0.9484539,-2.481398,1.162598,-13.42786,1.771362,0.35922
01 timestamp(ms):267357.4 force plate (fx, fy, fz, mx, my, mz):0.9495811,-2.729548,0.9765625,-13.3645,1.738037,0.3172164
01 timestamp(ms):267390.4 force plate (fx, fy, fz, mx, my, mz):0.6137028,-1.260632,1.169189,-13.79236,2.486847,-0.05154371
01 timestamp(ms):267424.6 force plate (fx, fy, fz, mx, my, mz):0.6219826,-1.253693,0.7927246,-13.79364,2.420288,0.1352568
01 timestamp(ms):267463 force plate (fx, fy, fz, mx, my, mz):-0.04935455,-1.270599,0.7922363,-13.68829,2.455078,-0.05455971
01 timestamp(ms):267495.2 force plate (fx, fy, fz, mx, my, mz):-0.3832989,-1.722198,0.4155273,-15.22766,2.904297,-0.1379929
01 timestamp(ms):267525.3 force plate (fx, fy, fz, mx, my, mz):-0.3805351,-1.479671,0.2285156,-15.18634,2.870941,-0.1813183
01 timestamp(ms):267570.4 force plate (fx, fy, fz, mx, my, mz):-0.3770332,-0.9910698,0.9785156,-15.10364,2.871857,-0.1831198
01 timestamp(ms):267606.3 force plate (fx, fy, fz, mx, my, mz):-0.3777657,-0.9926872,0.7915039,-15.05182,2.904846,-0.1836052
01 timestamp(ms):267639.7 force plate (fx, fy, fz, mx, my, mz):-0.3770332,-0.9910698,0.9785156,-15.10364,2.871857,-0.1831198
01 timestamp(ms):267669.2 force plate (fx, fy, fz, mx, my, mz):-0.3777657,-0.9926872,0.7915039,-15.05182,2.904846,-0.1836052
01 timestamp(ms):267695.4 force plate (fx, fy, fz, mx, my, mz):-0.3781166,-0.4888611,0.7875977,-15.49194,2.705048,-0.09707355
